symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-03-07 00:00:00+00:00,172.5,174.44,172.02,173.87,24796374,41.6775585078,42.1462800354,41.5615861711,42.0085628855,99185496,0.0,1.0
AAPL,2019-03-08 00:00:00+00:00,172.91,173.07,169.5,170.32,23999358,41.7766182121,41.8152756576,40.9527314033,41.1508508119,95997432,0.0,1.0
AAPL,2019-03-11 00:00:00+00:00,178.9,179.12,175.35,175.49,32011034,43.2238563307,43.2770103183,42.366144257,42.3999695219,128044136,0.0,1.0
AAPL,2019-03-12 00:00:00+00:00,180.91,182.67,179.37,180.0,32467584,43.7094904907,44.134722392,43.3374125771,43.489626269,129870336,0.0,1.0
AAPL,2019-03-13 00:00:00+00:00,181.71,183.3,180.92,182.25,31032524,43.9027777185,44.2869360839,43.711906581,44.0332465974,124130096,0.0,1.0
AAPL,2019-03-14 00:00:00+00:00,183.73,184.1,182.56,183.9,23579508,44.3908279689,44.4802233118,44.1081453982,44.4319015048,94318032,0.0,1.0
AAPL,2019-03-15 00:00:00+00:00,186.12,187.33,183.74,184.85,39042912,44.9682735621,45.2606204943,44.3932440592,44.6614300879,156171648,0.0,1.0
AAPL,2019-03-18 00:00:00+00:00,188.02,188.39,185.79,185.8,26219832,45.4273307283,45.5167260712,44.8885425806,44.890958671,104879328,0.0,1.0
AAPL,2019-03-19 00:00:00+00:00,186.53,188.99,185.92,188.35,31646369,45.0673332664,45.6616914921,44.9199517552,45.5070617098,126585476,0.0,1.0
AAPL,2019-03-20 00:00:00+00:00,188.16,189.49,184.73,186.23,31035231,45.4611559932,45.7824960095,44.6324370037,44.994850556,124140924,0.0,1.0
AAPL,2019-03-21 00:00:00+00:00,195.09,196.33,189.81,190.02,51034237,47.1355066045,47.4351018077,45.8598109007,45.910548798,204136948,0.0,1.0
